% pa
21三体综合症 ershiyisantizonghezheng
舞水端里 Wushuiduanli
舞池 wuchi
舞狮 wushi
舞者 wuzhe
舞蹈 wudao
舞蹈家 wudaojia
舞钢 Wugang
舞钢市 Wugangshi
舞阳 Wuyang
舞阳县 Wuyangxian
舞龙 wulong
舟 zhou
舟山 Zhoushan
舟山市 Zhoushanshi
舟山群岛 ZhoushanQundao
舟曲 Zhouqu
舟曲县 Zhouquxian
舟车劳顿 zhouchelaodun
舠 dao
舡 gang
舢 shan
舢板 shanban
舢舨 shanban
舣 yi
舨 ban
航 hang
航厦 hangsha
航向 hangxiang
航图 hangtu
航天 hangtian
航天中心 hangtianzhongxin
航天员 hangtianyuan
航天器 hangtianqi
航天局 hangtianju
航天飞机 hangtianfeiji
航徽 hanghui
航拍 hangpai
航权 hangquan
航标 hangbiao
航标灯 hangbiaodeng
航模 hangmo
航次 hangci
航段 hangduan
航母 hangmu
航海 hanghai
航海家 hanghaijia
航海年表 hanghainianbiao
航海者 hanghaizhe
航班 hangban
航班表 hangbanbiao
航程 hangcheng
航空 hangkong
航空业 hangkongye
航空事业 hangkongshiye
航空信 hangkongxin
航空公司 hangkonggongsi
航空器 hangkongqi
航空学 hangkongxue
航空局 hangkongju
航空术 hangkongshu
航空母舰 hangkongmujian
航空母舰战斗群 hangkongmujianzhandouqun
航空港 hangkonggang
航空站 hangkongzhan
航空线 hangkongxian
航空自卫队 hangkongziweidui
航空航天局 hangkonghangtianju
航空运单 hangkongyundan
航空邮件 hangkongyoujian
航站 hangzhan
航线 hangxian
航舰 hangjian
航船 hangchuan
航行 hangxing
航运 hangyun
航迹 hangji
航速 hangsu
航道 hangdao
航邮 hangyou
舫 fang
般 ban
般 pan
般乐 panle
般桓 panhuan
般游 panyou
般若 bore
般若波罗密 boreboluomi
般若波罗密多心经 boreboluomiduoxinjing
般配 banpei
般雀比拉多 BanqueBiladuo
舭 bi
舰 jian
舰只 jianzhi
舰岛 jiandao
舰桥 jianqiao
舰船 jianchuan
舰艇 jianting
舰载 jianzai
舰载机 jianzaiji
舰长 jianzhang
舰队 jiandui
舰首 jianshou
舱 cang
舱位 cangwei
舱外活动 cangwaihuodong
舱房 cangfang
舲 ling
舳 zhu
舴 ze
舵 duo
舵手 duoshou
舵把 duoba
舵旁 duopang
舶 bo
舶来品 bolaipin
舷 xian
舷梯 xianti
舸 ge
船 chuan
船 chuan
船上交货 chuanshangjiaohuo
船东 chuandong
船主 chuanzhu
船位 chuanwei
船体 chuanti
船到桥头自然直 chuandaoqiaotouziranzhi
船到桥门自会直 chuandaoqiaomenzihuizhi
船到江心，补漏迟 chuandaojiangxin,bulouchi
船到码头，车到站 chuandaomatou,chedaozhan
船厂 chuanchang
船只 chuanzhi
船员 chuanyuan
船坞 chuanwu
船埠 chuanbu
船夫 chuanfu
船头 chuantou
船家 chuanjia
船尾 chuanwei
船尾座 Chuanweizuo
船山 Chuanshan
船山区 Chuanshanqu
船工 chuangong
船帆 chuanfan
船帆座 Chuanfanzuo
船帮 chuanbang
船底座 Chuandizuo
船户 chuanhu
船政大臣 ChuanzhengDachen
船政学堂 ChuanzhengXuetang
船方 chuanfang
船梯 chuanti
船民 chuanmin
船票 chuanpiao
船篷 chuanpeng
船籍 chuanji
船籍港 chuanjigang
船缆 chuanlan
船老大 chuanlaoda
船舰 chuanjian
船舱 chuancang
船舵 chuanduo
船舶 chuanbo
船舷 chuanxian
船艄 chuanshao
船营 Chuanying
船营区 Chuanyingqu
船货 chuanhuo
船身 chuanshen
船运 chuanyun
船运业 chuanyunye
船长 chuanzhang
船闸 chuanzha
船队 chuandui
船首 chuanshou
舺 xia
舻 lu
艁 zao
艄 shao
艄公 shaogong
艅 yu
艅艎 yuhuang
艇 ting
艇甲板 tingjiaban
艉 wei
艋 meng
艎 huang
艏 shou
艑 bian
艕 bang
艖 cha
艗 yi
艘 sou
艚 cao
艜 dai
艟 chong
艨 meng
艨冲 mengchong
艨艟 mengchong
艩 qi
艬 chan
艭 shuang
艮 gen
艮 gen
良 liang
良久 liangjiu
良乡 Liangxiang
良人 liangren
良伴 liangban
良医 liangyi
良友 liangyou
良吉 liangji
良善 liangshan
良图 liangtu
良多 liangduo
良好 lianghao
良宵美景 liangxiaomeijing
良家 liangjia
良家女子 liangjianu:zi
良工心苦 lianggongxinku
良师益友 liangshiyiyou
良庆 Liangqing
良庆区 LiangqingQu
良心 liangxin
良心未泯 liangxinweimin
良心犯 liangxinfan
良性 liangxing
良性循环 liangxingxunhuan
良性肿瘤 liangxingzhongliu
良方 liangfang
良朋益友 liangpengyiyou
良机 liangji
良材 liangcai
良桐 liangtong
良民 liangmin
良渚 Liangzhu
良渚文化 Liangzhuwenhua
良港 lianggang
良田 liangtian
良知 liangzhi
良知良能 liangzhiliangneng
良禽择木 liangqinzemu
良禽择木而栖 liangqinzemuerqi
良种 liangzhong
良种繁育 liangzhongfanyu
良策 liangce
良缘 liangyuan
良苦用心 liangkuyongxin
良药 liangyao
良药苦口 liangyaokukou
良莠不齐 liangyoubuqi
良辰吉日 liangchenjiri
良辰美景 liangchenmeijing
良马 liangma
艰 jian
艰巨 jianju
艰巨性 jianjuxing
艰深 jianshen
艰深晦涩 jianshenhuise
艰苦 jianku
艰苦奋斗 jiankufendou
艰苦朴素 jiankupusu
艰辛 jianxin
艰险 jianxian
艰难 jiannan
艰难险阻 jiannanxianzu
色 se
色 shai
色令智昏 selingzhihun
色光 seguang
色厉内荏 selineiren
色厉词严 seliciyan
色友 seyou
色域 seyu
色夷 seyi
色子 shaizi
色字头上一把刀 sezitoushangyibadao
色度 sedu
色当 Sedang
色彩 secai
色彩缤纷 secaibinfen
色情 seqing
色情业 seqingye
色情作品 seqingzuopin
色情小说 seqingxiaoshuo
色情片 seqingpian
色情狂 seqingkuang
色拉 sela
色拉寺 Selasi
色拉油 selayou
色拉酱 selajiang
色斑 seban
色欲 seyu
色氨酸 seansuan
色泽 seze
色狼 selang
色盅 shaizhong
色目 Semu
色盲 semang
色相 sexiang
色眯眯 semimi
色素 sesu
色素体 sesuti
色胆 sedan
色胆包天 sedanbaotian
色胚 sepei
色胺酸 seansuan
色色迷迷 sesemimi
色荒 sehuang
色诱 seyou
色调 sediao
色达 Seda
色达县 Shaidaxian
色迷 semi
色迷迷 semimi
色钟 shaizhong
色键 sejian
色长 sezhang
色香味俱全 sexiangweijuquan
色鬼 segui
色魔 semo
艳 yan
艳 yan
艳 yan
艳 yan
艳丽 yanli
艳冶 yanye
艳如桃李 yanrutaoli
艳情 yanqing
艳福 yanfu
艳红色 yanhongse
艳羡 yanxian
艳舞 yanwu
艳色 yanse
艳诗 yanshi
艳遇 yanyu
艴 fu
艹 cao
艺 yi
艺人 yiren
艺伎 yiji
艺名 yiming
艺圃 YiPu
艺坛 yitan
艺妓 yiji
艺术 yishu
艺术体操 yishuticao
艺术品 yishupin
艺术学院 yishuxueyuan
艺术家 yishujia
艺术片 yishupian
艺术节 yishujie
艺术造街 yishuzaojie
艺校 yixiao
艻 le
艽 jiao
艾 Ai
艾 ai
艾 yi
艾丁湖 AidingHu
艾伯塔 Aibota
艾兹病 aizibing
艾冬花 aidonghua
艾卷 aijuan
艾叶 aiye
艾叶油 aiyeyou
艾叶炭 aiyetan
艾哈迈德 Aihamaide
艾哈迈德阿巴德 Aihamaideabade
艾哈迈达巴德 Aihamaidabade
艾哈迈迪内贾德 Aihamaidineijiade
艾塔 aita
艾奇逊 Aiqixun
艾奥瓦 Aiaowa
艾奥瓦州 Aiaowazhou
艾实 aishi
艾尔伯塔 Aierbota
艾尔米塔什 Aiermitashi
艾尔米塔奇 Aiermitaji
艾弥尔 Aimier
艾德蒙顿 Aidemengdun
艾德蕾德 Aideleide
艾扑西龙 aipuxilong
艾未未 AiWeiwei
艾条 aitiao
艾条温和灸 aitiaowenhejiu
艾条灸 aitiaojiu
艾条雀啄灸 aitiaoquezhuojiu
艾格尼丝・史沫特莱 Aigenisi·Shimotelai
艾森豪威尔 Aisenhaoweier
艾比湖 AibiHu
艾滋 aizi
艾滋病 aizibing
艾滋病患者 aizibinghuanzhe
艾滋病抗体 aizibingkangti
艾滋病毒 aizibingdu
艾滋病病毒 aizibingbingdu
艾灸 aijiu
艾炭 aitan
艾炷 aizhu
艾炷灸 aizhujiu
艾片 aipian
艾玛纽埃尔 Aimaniuaier
艾登堡 Aidengbao
艾窝窝 aiwowo
艾纳香 ainaxiang
艾绒 airong
艾美奖 AimeiJiang
艾草 aicao
艾菲尔铁塔 AifeierTieta
艾萨克 Aisake
艾萨克・牛顿 Aisake·Niudun
艾蒿 aihao
艾赛克斯 Aisaikesi
艾迪 Aidi
艾迪卡拉 Aidikala
艾迪生 Aidisheng
艾青 AiQing
艿 nai
节 jie
节 jie
节上生枝 jieshangshengzhi
节余 jieyu
节俭 jiejian
节候 jiehou
节制 jiezhi
节哀顺变 jieaishunbian
节外生枝 jiewaishengzhi
节奏 jiezou
节奏口技 jiezoukouji
节奏布鲁斯 jiezoubulusi
节子 jiezi
节庆 jieqing
节度使 jiedushi
节录 jielu
节律 jielu:
节拍 jiepai
节拍器 jiepaiqi
节操 jiecao
节支 jiezhi
节支动物 jiezhidongwu
节日 jieri
节期 jieqi
节本 jieben
节气 jieqi
节气门 jieqimen
节水 jieshui
节油 jieyou
节流 jieliu
节流踏板 jieliutaban
节流阀 jieliufa
节点 jiedian
节烈 jielie
节电 jiedian
节略 jielu:e
节略本 jielu:eben
节疤 jieba
节瘤 jieliu
节目 jiemu
节省 jiesheng
节约 jieyue
节肢介体病毒 jiezhijietibingdu
节肢动物 jiezhidongwu
节育 jieyu
节能 jieneng
节能灯 jienengdeng
节节 jiejie
节衣缩食 jieyisuoshi
节足动物 jiezudongwu
节选 jiexuan
节间 jiejian
节食 jieshi
节骨眼 jieguyan
节骨眼儿 jieguyanr
芃 peng
芄 wan
芈 Mi
芈 mi
芊 qian
芊萰 qianlian
芋 yu
芋圆 yuyuan
芋头 yutou
芋头色 yutouse
芋泥 Yuni
芋艿 yunai
芋螺毒素 yuluodusu
芍 Que
芍 shao
芍药 shaoyao
芍陂 Quepi
芎 xiong
芎林 Qionglin
芎林乡 Qionglinxiang
芎藭 qiongxiong
芏 du
芑 qi
芒 mang
芒刺在背 mangcizaibei
芒康 Mangkang
芒康县 Mangkangxian
芒果 mangguo
芒果汁 mangguozhi
芒硝 mangxiao
芒种 Mangzhong
芒草 mangcao
芔 hui
芕 sui
芗 xiang
芗剧 Xiangju
芗城 Xiangcheng
芗城区 Xiangchengqu
芘 pi
芙 fu
芙蓉 Furong
芙蓉 furong
芙蓉出水 furongchushui
芙蓉区 Furongqu
芙蓉花 furonghua
芚 tun
芜 wu
芜俚 wuli
芜劣 wulie
芜杂 wuza
芜湖 Wuhu
芜湖县 Wuhuxian
芜湖市 Wuhushi
芜秽 wuhui
芜累 wulei
芜繁 wufan
芜菁 wujing
芜菁甘蓝 wujingganlan
芜词 wuci
芜鄙 wubi
芜驳 wubo
芝 zhi
芝兰 zhilan
芝兰之室 zhilanzhishi
芝兰玉树 zhilanyushu
芝加哥 Zhijiage
芝加哥大学 ZhijiageDaxue
芝士 zhishi
芝士蛋糕 zhishidangao
芝宇 zhiyu
芝心 zhixin
芝焚蕙叹 zhifenhuitan
芝焚蕙叹 zhifenhuitan
芝罘 Zhifu
芝罘区 Zhifuqu
芝麻 zhima
芝麻包 zhimabao
芝麻官 zhimaguan
芝麻小事 zhimaxiaoshi
芝麻油 zhimayou
芝麻绿豆 zhimalu:dou
芝麻酱 zhimajiang
芝麻饼 zhimabing
芞 qi
芟 shan
芡 qian
芡实 qianshi
芡粉 qianfen
芣 fu
芤 kou
芥 gai
芥 jie
芥兰 gailan
芥兰牛肉 jielanniurou
芥子气 jieziqi
芥末 jiemo
芥茉 jiemo
芥菜 jiecai
芥菜籽 jiecaizi
芥蒂 jiedi
芥蓝 gailan
芦 lu
芦山 Lushan
芦山县 Lushanxian
芦柴棒 luchaibang
芦沟桥 LugouQiao
芦沟桥事变 LugouQiaoShibian
芦洲 Luzhou
芦洲市 Luzhoushi
芦淞区 Lusongqu
芦溪 Luxi
芦溪县 Luxixian
芦竹 Luzhu
芦竹乡 Luzhuxiang
芦笋 lusun
芦笙 lusheng
芦管 luguan
芦花黄雀 luhuahuangque
芦苇 luwei
芦荟 luhui
芦荻 ludi
芧 xu
芨 ji
芩 qin
芪 qi
芫 yuan
芫花 yuanhua
芫花素 yuanhuasu
芫荽 yansui
芫荽叶 yansuiye
芬 fen
芬兰 Fenlan
芬兰语 Fenlanyu
芬园 Fenyuan
芬园乡 Fenyuanxiang
芬尼 fenni
芬芳 fenfang
芬香 fenxiang
芭 ba
芭乐 bale
芭乐票 balepiao
芭拉 bala
芭提雅 Batiya
芭比 Babi
芭芭拉 Babala
芭菲 bafei
芭蕉 bajiao
芭蕉扇 bajiaoshan
芭蕾 balei
芭蕾舞 baleiwu
芭达雅 Badaya
芮 Rui
芮 rui
芮城 Ruicheng
芮城县 Ruichengxian
芮氏 Ruishi
芮氏规模 Ruishiguimo
芯 xin
芯 xin
芯片 xinpian
芯片组 xinpianzu
芰 ji
花 Hua
花 hua
花 hua
花 hua
花不棱登 huabulengdeng
花丛 huacong
花丝 huasi
花会 huahui
花俏 huaqiao
花儿 huaer
花儿 huar
花光 huaguang
花农 huanong
花冠 huaguan
花前月下 huaqianyuexia
花剑 huajian
花匠 huajiang
花卉 huahui
花厅 huating
花台 huatai
花名 huaming
花呢 huani
花哨 huashao
花商 huashang
花团锦簇 huatuanjincu
花园 huayuan
花圃 huapu
花圈 huaquan
花地玛堂区 Huadimatangqu
花坛 Huatan
花坛 huatan
花坛乡 Huatanxiang
花垣 Huayuan
花垣县 Huayuanxian
花大姐 huadajie
花天酒地 huatianjiudi
花头 huatou
花头 huatou
花好月圆 huahaoyueyuan
花子 huazi
花季 huaji
花容月貌 huarongyuemao
花展 huazhan
花山 Huashan
花山区 Huashanqu
花岗岩 huagangyan
花岗石 huagangshi
花巧 huaqiao
花布 huabu
花床 huachuang
花序 huaxu
花店 huadian
花式 huashi
花式游泳 huashiyouyong
花式溜冰 huashiliubing
花彩 huacai
花心 huaxin
花心大萝卜 huaxindaluobo
花心思 huaxinsi
花户 huahu
花房 huafang
花托 huatuo
花把势 huabashi
花把式 huabashi
花押 huaya
花招 huazhao
花括号 huakuohao
花拳 huaquan
花拳绣腿 huaquanxiutui
花掉 huadiao
花斑 huaban
花斑癣 huabanxuan
花旗 huaqi
花旗参 huaqishen
花旗国 huaqiguo
花旗银行 HuaqiYinhang
花无百日红 huawubairihong
花旦 huadan
花时间 huashijian
花朝月夕 huazhaoyuexi
花朝节 huazhaojie
花期 huaqi
花木 huamu
花木兰 HuaMulan
花朵 huaduo
花束 huashu
花果山 HuaguoShan
花枝 huazhi
花枝招展 huazhizhaozhan
花枪 huaqiang
花架子 huajiazi
花柱 huazhu
花柳病 hualiubing
花栗鼠 hualishu
花样 huayang
花样游泳 huayangyouyong
花样滑冰 huayanghuabing
花梗 huageng
花椒 huajiao
花椰菜 huayecai
花池子 huachizi
花洒 huasa
花溪 Huaxi
花溪区 Huaxiqu
花火 huahuo
花灯 huadeng
花灯戏 huadengxi
花炮 huapao
花点子 huadianzi
花环 huahuan
花瓣 huaban
花瓶 huaping
花生 huasheng
花生浆 huashengjiang
花生秀 huashengxiu
花生米 huashengmi
花生酱 huashengjiang
花用 huayong
花甲 huajia
花痴 huachi
花白 huabai
花盆 huapen
花着 huazhao
花石 huashi
花石峡 Huashixia
花石峡镇 Huashixiazhen
花童 huatong
花簇 huacu
花粉 huafen
花粉热 huafenre
花粉症 huafenzheng
花粉过敏 huafenguomin
花絮 huaxu
花红 huahong
花红柳绿 huahongliulu:
花纹 huawen
花结 huajie
花缎 huaduan
花腔 huaqiang
花色 huase
花花世界 huahuashijie
花花公主 huahuagongzhu
花花公子 huahuagongzi
花花搭搭 huahuadada
花花绿绿 huahualu:lu:
花花肠子 huahuachangzi
花苞 huabao
花茶 huacha
花草 huacao
花药 huayao
花莲 Hualian
花莲县 Hualianxian
花莲市 Hualianshi
花菜 huacai
花萼 huae
花蕊 huarui
花蕾 hualei
花蛤 huage
花蜜 huami
花街 huajie
花被 huabei
花言巧语 huayanqiaoyu
花豹 huabao
花貌蓬心 huamaopengxin
花费 huafei
花车 huache
花轿 huajiao
花边 huabian
花边人物 huabianrenwu
花边儿 huabianr
花边新闻 huabianxinwen
花都 Huadu
花都区 Huaduqu
花酒 huajiu
花钱 huaqian
花钱找罪受 huaqianzhaozuishou
花销 huaxiao
花雕 huadiao
花露水 hualushui
花饰 huashi
花香 huaxiang
花骨朵 huaguduo
花鲢 hualian
花鸟 huaniao
花鸡 huaji
花黄 huahuang
花鼓 huagu
花鼓戏 huaguxi
芲 lun
芳 fang
芳容 fangrong
芳心 fangxin
芳札 fangzha
芳烃 fangting
芳苑 Fangyuan
芳苑乡 Fangyuanxiang
芳香 fangxiang
芳香烃 fangxiangting
芳香环 fangxianghuan
芳香疗法 fangxiangliaofa
芳香醋 fangxiangcu
芳龄 fangling
芴 hu
芴 wu
芷 zhi
芷江 Zhijiang
芷江侗族自治县 ZhijiangDongzuZizhixian
芷江县 Zhijiangxian
芸 yi
芸 yun
芸 yun
芸芸 yunyun
芸芸众生 yunyunzhongsheng
芸苔子 yuntaizi
芸苔属 yuntaishu
芸薹 yuntai
芸薹属 yuntaishu
芸豆 yundou
芸阁 yunge
芸香 yunxiang
芹 qin
芹菜 qincai
芼 mao
芽 ya
芽苗 yamiao
芾 fei
芾 fu
芿 reng
苁 cong
苄 bian
苄胺 bianan
苇 wei
苇箔 weibo
苈 li
苉 pi
苊 e
苋 xian
苋科 xianke
苋菜 xiancai
苌 Chang
苌 chang
苌楚 changchu
苍 Cang
苍 cang
苍凉 cangliang
苍劲 cangjin
苍南 Cangnan
苍南县 Cangnanxian
苍天 cangtian
苍山 Cangshan
苍山县 Cangshanxian
苍惶 canghuang
苍松翠柏 cangsongcuibai
苍梧 Cangwu
苍梧县 Cangwuxian
苍溪 Cangxi
苍溪县 Cangxixian
苍生 cangsheng
苍生涂炭 cangshengtutan
苍白 cangbai
苍白无力 cangbaiwuli
苍白色 cangbaise
苍穹 cangqiong
苍翠 cangcui
苍老 canglao
苍耳 canger
苍苍 cangcang
苍茫 cangmang
苍莽 cangmang
苍蝇 cangying
苍蝇座 Cangyingzuo
苍蝇拍 cangyingpai
苍郁 cangyu
苍鹭 canglu
苍鹰 cangying
苍黄 canghuang
苍龙 Canglong
苎 zhu
苎麻 zhuma
苏 su
苏 su
苏 Su
苏 su
苏 su
苏东坡 SuDongpo
苏丹 Sudan
苏仙 Suxian
苏仙区 Suxianqu
苏伊士 Suyishi
苏伊士河 Suyishihe
苏伊士运河 SuyishiYunhe
苏俄 Sue
苏克雷 Sukelei
苏共 SuGong
苏利南 Sulinan
苏占区 Suzhanqu
苏台德地区 SutaideDiqu
苏合香 suhexiang
苏哈托 Suhatuo
苏姆盖特 Sumugaite
苏宁电器 Suningdianqi
苏家屯 Sujiatun
苏家屯区 Sujiatunqu
苏富比 Sufubi
苏尔 Suer
苏尼特右旗 Suniteyouqi
苏尼特左旗 Sunitezuoqi
苏州 Suzhou
苏州地区 Suzhoudiqu
苏州大学 SuzhouDaxue
苏州市 Suzhoushi
苏州河 SuzhouHe
苏州码子 Suzhoumazi
苏州话 Suzhouhua
苏必利尔湖 SubilierHu
苏打 suda
苏打水 sudashui
苏打粉 sudafen
苏打饼干 sudabinggan
苏报案 Subaoan
苏拉威西 Sulaweixi
苏易简 SuYijian
苏曼殊 SuManshu
苏木 sumu
苏杭 SuHang
苏枋 sufang
苏枋木 sufangmu
苏格兰 Sugelan
苏格兰场 sugelanchang
苏格兰女王玛丽 SugelanNu:wangMali
苏格兰帽 sugelanmao
苏格兰折耳猫 SugelanZheermao
苏格拉底 Sugeladi
苏步青 SuBuqing
苏武 SuWu
苏氨酸 suansuan
苏洵 SuXun
苏澳 Suao
苏澳镇 Suaozhen
苏珊 Sushan
苏珊・波伊尔 Sushan·Boyier
苏瓦 Suwa
苏禄 Sulu
苏秦 SuQin
苏维埃 Suweiai
苏维埃俄国 SuweiaiEguo
苏维埃社会主义共和国联盟 SuweiaiShehuizhuyiGongheguoLianmeng
苏美尔 Sumeier
苏联 Sulian
苏联之友社 Sulianzhiyoushe
苏联共产党 SulianGongchandang
苏联最高苏维埃 SulianZuigaoSuweiai
苏胺酸 suansuan
苏花公路 SuhuaGonglu
苏莱曼 Sulaiman
苏菜 Sucai
苏菲 Sufei
苏西洛 Suxiluo
苏贞昌 SuZhenchang
苏轼 SuShi
苏辙 SuZhe
苏迪曼杯 Sudimanbei
苏醒 suxing
苏醒 suxing
苏里南 Sulinan
苏里南河 SulinanHe
苏金达 Sujinda
苏铁 sutie
苏门答腊 Sumendala
苏门答腊岛 SumendalaDao
苏门达腊 Sumendala
苏非主义 Sufeizhuyi
苏黎世 Sulishi
苏黎世联邦理工学院 Sulishilianbangligongxueyuan
苏黎士 Sulishi
苑 Yuan
苑 yuan
苑里 Yuanli
苑里镇 Yuanlizhen
苒 ran
苓 ling
苓雅 Lingya
苓雅区 Lingyaqu
苔 tai
苔 tai
苔藓 taixian
苕 shao
苕 tiao
苗 Miao
苗 miao
苗圃 MiaoPu
苗圃 miaopu
苗头 miaotou
苗子 miaozi
苗家 Miaojia
苗床 miaochuang
苗族 Miaozu
苗期 miaoqi
苗条 miaotiao
苗栗 Miaoli
苗栗县 Miaolixian
苗栗市 Miaolishi
苗裔 miaoyi
苘 qing
苘麻 qingma
苙 li
苛 ke
苛刻 keke
苛性 kexing
苛性钠 kexingna
苛性钾 kexingjia
苛捐杂税 kejuanzashui
苛政猛于虎 kezhengmengyuhu
苛求 keqiu
苛责 keze
苜 mu
苜蓿 muxu
苞 bao
苞片 baopian
苞米 baomi
苞粟 baosu
苞藏祸心 baocanghuoxin
苞谷 baogu
苟 Gou
苟 gou
苟且 gouqie
苟且偷安 gouqietouan
苟且偷生 gouqietousheng
苟取 gouqu
苟合 gouhe
苟同 goutong
苟存 goucun
苟安 gouan
苟延残喘 gouyancanchuan
苠 min
苡 yi
苡米 yimi
苣 ju
苣荬菜 jumaicai
苤 pie
苤蓝 pielan
若 ruo
若且唯若 ruoqieweiruo
若即若离 ruojiruoli
若尔盖 Ruoergai
若尔盖县 Ruoergaixian
若干 ruogan
若开山脉 Ruokaishanmai
若无其事 ruowuqishi
若是 ruoshi
若有所丧 ruoyousuosang
若有所亡 ruoyousuowang
若有所失 ruoyousuoshi
若有若无 ruoyouruowu
若望 Ruowang
若望福音 RuowangFuyin
若然 ruoran
若羌 Ruoqiang
若羌县 Ruoqiangxian
若翰 Ruohan
若要人不知，除非己莫为 ruoyaorenbuzhi,chufeijimowei
若隐若现 ruoyinruoxian
若非 ruofei
苦 ku
苦不唧 kubuji
苦不唧儿 kubujir
苦中作乐 kuzhongzuole
苦主 kuzhu
苦事 kushi
苦况 kukuang
苦刑 kuxing
苦力 kuli
苦功 kugong
苦劳 kulao
苦参 kushen
苦口 kukou
苦口婆心 kukoupoxin
苦味 kuwei
苦命 kuming
苦哈哈 kuhaha
苦因 kuyin
苦境 kujing
苦处 kuchu
苦大仇深 kudachoushen
苦头 kutou
苦寒 kuhan
苦尽甘来 kujinganlai
苦工 kugong
苦差 kuchai
苦差事 kuchaishi
苦干 kugan
苦役 kuyi
苦待 kudai
苦心 kuxin
苦心孤诣 kuxinguyi
苦心经营 kuxinjingying
苦思 kusi
苦思冥想 kusimingxiang
苦恼 kunao
苦情 kuqing
苦战 kuzhan
苦日子 kurizi
苦杏仁苷 kuxingrengan
苦果 kuguo
苦根 kugen
苦楚 kuchu
苦楝 kulian
苦水 kushui
苦活 kuhuo
苦活儿 kuhuor
苦海 kuhai
苦海无边，回头是岸 kuhaiwubian,huitoushian
苦海茫茫 kuhaimangmang
苦涩 kuse
苦熬 kuao
苦瓜 kugua
苦瓜脸 kugualian
苦甘 kugan
苦痛 kutong
苦窑 kuyao
苦竹 kuzhu
苦笑 kuxiao
苦练 kulian
苦肉计 kurouji
苦胆 kudan
苦艾 kuai
苦艾酒 kuaijiu
苦苓 kuling
苦苣 kuju
苦苦 kuku
苦苦哀求 kukuaiqiu
苦荬菜 kumaicai
苦菊 kuju
苦菜花 KuCaihua
苦蘵 kuzhi
苦行 kuxing
苦行赎罪 kuxingshuzui
苦衷 kuzhong
苦谏 kujian
苦趣 kuqu
苦迭打 kudieda
苦闷 kumen
苦难 kunan
苦难深重 kunanshenzhong
苦集灭道 kujimiedao
苩 pa
苪 bing
苫 shan
苯 ben
苯丙氨酸 benbingansuan
苯丙胺 benbingan
苯丙酮尿症 benbingtongniaozheng
苯乙烯 benyixi
苯基 benji
苯并噻吩 benbingsaifen
苯氧基 benyangji
苯环 benhuan
苯甲酰氯 benjiaxianlu:
苯甲酸 benjiasuan
苯甲酸钠 benjiasuanna
苯甲醛 benjiaquan
苯胺 benan
苯那辛 bennaxin
苯酚 benfen
苯酮尿症 bentongniaozheng
英 Ying
英 ying
英两 Yingliang
英亩 yingmu
英仙座 Yingxianzuo
英仙臂 yingxianbi
英代尔 yingdaier
英伟达 Yingweida
英俊 yingjun
英军 Yingjun
英勇 yingyong
英勇牺牲 yingyongxisheng
英华 YingHua
英吉利 Yingjili
英吉利海峡 YingjiliHaixia
英吉沙 Yingjisha
英吉沙县 Yingjishaxian
英名 yingming
英吨 Yingdun
英国 Yingguo
英国人 Yingguoren
英国广播公司 YingguoGuangboGongsi
英国广播电台 YingguoGuangboDiantai
英国文化协会 YingguoWenhuaXiehui
英国电讯公司 YingguoDianxunGongsi
英国皇家学会 YingguoHuangjiaXuehui
英国石油 Yingguoshiyou
英国石油公司 Yingguoshiyougongsi
英国管 Yingguoguan
英姿飒爽 yingzisashuang
英宗 Yingzong
英寸 yingcun
英寻 Yingxun
英尺 yingchi
英属哥伦比亚 YingshuGelunbiya
英属维尔京群岛 YingshuWeierjingQundao
英山 Yingshan
英山县 Yingshanxian
英年 yingnian
英年早逝 yingnianzaoshi
英式橄榄球 Yingshiganlanqiu
英德 YingDe
英德 Yingde
英德市 Yingdeshi
英文 Yingwen
英明 yingming
英明果断 yingmingguoduan
英格兰 Yinggelan
英格兰银行 YinggelanYinhang
英气 yingqi
英汉 YingHan
英汉对译 YingHanduiyi
英法 yingfa
英特尔 Yingteer
英特网 Yingtewang
英石 yingshi
英联合王国 Yinglianhewangguo
英联邦 YingLianbang
英译 Yingyi
英语 Yingyu
英语教学 Yingyujiaoxue
英语热 Yingyure
英语角 Yingyujiao
英超 YingChao
英超赛 Yingchaosai
英迪格酒店 YingdigeJiudian
英里 Yingli
英镑 Yingbang
英雄 yingxiong
英雄好汉 yingxionghaohan
英雄式 yingxiongshi
英雄所见略同 yingxiongsuojianlu:etong
英雄无用武之地 yingxiongwuyongwuzhidi
英雄难过美人关 yingxiongnanguomeirenguan
苲 zha
苲草 zhacao
苴 Ju
苴 ju
苴麻 juma
苶 nie
苷 gan
苹 ping
苹 pin
苹 ping
苹果 pingguo
苹果公司 PingguoGongsi
苹果手机 Pingguoshouji
苹果核 pingguohe
苹果汁 pingguozhi
苹果派 pingguopai
苹果电脑 Pingguodiannao
苹果蠹蛾 pingguodue
苹果酒 pingguojiu
苹果酱 pingguojiang
苹果馅饼 pingguoxianbing
苺 mei
苻 fu
苻坚 FuJian
苾 bi
茀 fu
茀星 fuxing
茁 zhuo
茁壮 zhuozhuang
茂 mao
茂亲 maoqin
茂南 Maonan
茂南区 Maonanqu
茂县 Maoxian
茂名 Maoming
茂名市 Maomingshi
茂密 maomi
茂才 maocai
茂林 Maolin
茂林乡 Maolinxiang
茂汶县 Maowenxian
