% pa
21三体综合症 ershiyisantizonghezheng
三个臭皮匠，赛过一个诸葛亮 sangechoupijiang,saiguoyigeZhugeLiang
三个臭皮匠，赛过诸葛亮 sangechoupijiang,saiguoZhugeLiang
三个臭皮匠，顶个诸葛亮 sangechoupijiang,dinggeZhugeLiang
三中全会 SanZhongQuanhui
三义 Sanyi
三义乡 Sanyixiang
三九天 sanjiutian
三五成群 sanwuchengqun
三井 Sanjing
三亚 Sanya
三亚市 Sanyashi
三亲六故 sanqinliugu
三人口气 sanrenkouqi
三人成虎 sanrenchenghu
三人行，则必有我师 sanrenxing,zebiyouwoshi
三人行，必有我师 sanrenxing,biyouwoshi
三仇 sanchou
三从四德 sancongside
三代 sandai
三代同堂 sandaitongtang
三令五申 sanlingwushen
三件套式西装 sanjiantaoshixizhuang
三价 sanjia
三伏 sanfu
三伏天 sanfutian
三位一体 SanweiYiti
三位博士 sanweiboshi
三体 santi
三体问题 santiwenti
三侠五义 Sanxiawuyi
三倍 sanbei
三催四请 sancuisiqing
三元区 Sanyuanqu
三元运算 sanyuanyunsuan
三元醇 sanyuanchun
三光 sanguang
三光政策 SanguangZhengce
三八 sanba
三八线 sanbaxian
三公消费 sangongxiaofei
三公经费 sangongjingfei
三军 sanjun
三农 sannong
三农问题 sannongwenti
三分 sanfen
三分之一 sanfenzhiyi
三分熟 sanfenshu
三分钟热度 sanfenzhongredu
三包 sanbao
三十 sanshi
三十二位元 sanshierweiyuan
三十八度线 sanshibaduxian
三十六字母 sanshiliuzimu
三十六计 sanshiliuji
三十六计，走为上策 sanshiliuji,zouweishangce
三十而立 sanshierli
三原 Sanyuan
三原则 sanyuanze
三原县 SanyuanXian
三厢 sanxiang
三叉戟 sanchaji
三叉神经 sanchashenjing
三反 sanfan
三反运动 sanfanyundong
三叠纪 Sandieji
三句话不离本行 sanjuhuabulibenhang
三只手 sanzhishou
三台 Santai
三台县 Santaixian
三叶星云 Sanyexingyun
三叶草 sanyecao
三叶虫 sanyechong
三号木杆 sanhaomugan
三号电池 sanhaodianchi
三合一 sanheyi
三合一疫苗 sanheyiyimiao
三合会 sanhehui
三合土 sanhetu
三合星 sanhexing
三味线 sanweixian
三和弦 sanhexian
三围 sanwei
三国 Sanguo
三国史记 Sanguoshiji
三国志 Sanguozhi
三国演义 SanguoYanyi
三地门 Sandimen
